package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
mvtnorm,1.3-3,1.3-3,C:/Users/echang/AppData/Local/R/win-library/4.5/mvtnorm,C:/Users/echang/AppData/Local/R/win-library/4.5/mvtnorm,FALSE,FALSE,2025-01-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
natserv,1.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/natserv,NA,FALSE,FALSE,2020-05-16,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
nlme,3.1-168,NA,C:/Program Files/R/R-4.5.1/library/nlme,NA,FALSE,FALSE,2025-03-31,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
nloptr,2.2.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/nloptr,NA,FALSE,FALSE,2025-03-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
nnet,7.3-20,NA,C:/Program Files/R/R-4.5.1/library/nnet,NA,FALSE,FALSE,2025-01-01,CRAN (R 4.5.1),NA,C:/Program Files/R/R-4.5.1/library
numDeriv,2016.8-1.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/numDeriv,NA,FALSE,FALSE,2019-06-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
oai,0.4.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/oai,NA,FALSE,FALSE,2022-11-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
openssl,2.3.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/openssl,NA,FALSE,FALSE,2025-09-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
otel,0.2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/otel,NA,FALSE,FALSE,2025-08-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
parallel,4.5.1,4.5.1,C:/PROGRA~1/R/R-45~1.1/library/parallel,C:/Program Files/R/R-4.5.1/library/parallel,FALSE,TRUE,2025-06-13,local,NA,C:/Program Files/R/R-4.5.1/library
pbapply,1.7-4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/pbapply,NA,FALSE,FALSE,2025-07-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pbkrtest,0.5.5,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/pbkrtest,NA,FALSE,FALSE,2025-07-18,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
phangorn,2.12.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/phangorn,NA,FALSE,FALSE,2024-09-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pillar,1.11.1,1.11.1,C:/Users/echang/AppData/Local/R/win-library/4.5/pillar,C:/Users/echang/AppData/Local/R/win-library/4.5/pillar,FALSE,FALSE,2025-09-17,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pkgbuild,1.4.8,1.4.8,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgbuild,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgbuild,FALSE,FALSE,2025-05-26,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pkgconfig,2.0.3,2.0.3,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgconfig,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgconfig,FALSE,FALSE,2019-09-22,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pkgdown,2.2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgdown,NA,FALSE,FALSE,2025-11-06,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
pkgload,1.4.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/pkgload,NA,FALSE,FALSE,2025-09-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
plyr,1.8.9,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/plyr,NA,FALSE,FALSE,2023-10-02,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
png,0.1-8,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/png,NA,FALSE,FALSE,2022-11-29,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
polynom,1.4-1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/polynom,NA,FALSE,FALSE,2022-04-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
posterior,1.6.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/posterior,NA,FALSE,FALSE,2025-02-27,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
potions,0.2.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/potions,NA,FALSE,FALSE,2023-08-23,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
praise,1.0.0,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/praise,NA,FALSE,FALSE,2015-08-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
prettyunits,1.2.0,1.2.0,C:/Users/echang/AppData/Local/R/win-library/4.5/prettyunits,C:/Users/echang/AppData/Local/R/win-library/4.5/prettyunits,FALSE,FALSE,2023-09-24,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
processx,3.8.6,3.8.6,C:/Users/echang/AppData/Local/R/win-library/4.5/processx,C:/Users/echang/AppData/Local/R/win-library/4.5/processx,FALSE,FALSE,2025-02-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
