package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
wk,0.9.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/wk,NA,FALSE,FALSE,2024-10-11,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
worrms,0.4.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/worrms,NA,FALSE,FALSE,2023-06-20,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
writexl,1.5.4,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/writexl,NA,FALSE,FALSE,2025-04-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xfun,0.54,0.54,C:/Users/echang/AppData/Local/R/win-library/4.5/xfun,C:/Users/echang/AppData/Local/R/win-library/4.5/xfun,FALSE,FALSE,2025-10-30,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
XML,3.99-0.20,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/XML,NA,FALSE,FALSE,2025-11-08,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xml2,1.5.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xml2,NA,FALSE,FALSE,2025-12-01,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xopen,1.0.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xopen,NA,FALSE,FALSE,2024-04-25,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xtable,1.8-4,1.8-4,C:/Users/echang/AppData/Local/R/win-library/4.5/xtable,C:/Users/echang/AppData/Local/R/win-library/4.5/xtable,FALSE,FALSE,2019-04-21,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
xts,0.14.1,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/xts,NA,FALSE,FALSE,2024-10-15,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
yaml,2.3.11,2.3.11,C:/Users/echang/AppData/Local/R/win-library/4.5/yaml,C:/Users/echang/AppData/Local/R/win-library/4.5/yaml,FALSE,FALSE,2025-11-28,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
zip,2.3.3,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/zip,NA,FALSE,FALSE,2025-05-13,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
zoo,1.8-14,NA,C:/Users/echang/AppData/Local/R/win-library/4.5/zoo,NA,FALSE,FALSE,2025-04-10,CRAN (R 4.5.2),TRUE,C:/Users/echang/AppData/Local/R/win-library/4.5
