id,name_type,name,name_bi
Gallinago hardwickii,syn_name,Scolopax hardwickii,Scolopax hardwickii
Gavicalis virescens,syn_name,Lichenostomus virescens,Lichenostomus virescens
Gelochelidon macrotarsa,syn_name,Sterna nilotica macrotarsa,Sterna nilotica
Gelochelidon macrotarsa,syn_name,Sterna macrotarsa,Sterna macrotarsa
Gelochelidon macrotarsa,syn_name,Gelochelidon nilotica macrotarsa,Gelochelidon nilotica
Gelochelidon macrotarsa,syn_name,Gelochelidon nilotica normani,Gelochelidon nilotica
Gelochelidon macrotarsa,syn_name,Gelochelidon nilotica cloatesi,Gelochelidon nilotica
Geopelia placida,syn_name,Geopelia tranquilla,Geopelia tranquilla
Gerygone fusca,syn_name,Psilopus fuscus,Psilopus fuscus
Gerygone olivacea,syn_name,Psilopus olivaceus,Psilopus olivaceus
Gliciphila melanops,syn_name,Phylidonyris melanops,Phylidonyris melanops
Glossopsitta concinna,syn_name,Psittacus concinnus,Psittacus concinnus
Grantiella picta,syn_name,Entomophila picta,Entomophila picta
Grantiella picta,syn_name,Conopophila picta,Conopophila picta
Haliaeetus leucogaster,acc_name,Icthyophaga leucogaster,Icthyophaga leucogaster
Haliaeetus leucogaster,syn_name,Haliaeetus leucogaster,Haliaeetus leucogaster
Haliaeetus leucogaster,syn_name,Falco leucogaster,Falco leucogaster
Haliastur sphenurus,syn_name,Milvus sphenurus,Milvus sphenurus
Halobaena caerulea,syn_name,Procellaria caerulea,Procellaria caerulea
Hamirostra melanosternon,syn_name,Buteo melanosternon,Buteo melanosternon
Heteroscenes pallidus,syn_name,Cuculus pallidus,Cuculus pallidus
Heteroscenes pallidus,syn_name,Cacomantis pallidus,Cacomantis pallidus
Heteroscenes pallidus,syn_name,Columba pallida,Columba pallida
Hieraaetus morphnoides,syn_name,Aquila morphnoides,Aquila morphnoides
Himantopus himantopus,syn_name,Charadrius himantopus,Charadrius himantopus
Himantopus himantopus,syn_name,Himantopus himantopus himantopus,Himantopus himantopus
Hirundapus caudacutus,syn_name,Hirundo caudacuta,Hirundo caudacuta
Hydroprogne caspia,syn_name,Sterna caspia,Sterna caspia
Hylacola cauta,syn_name,Hylacola cautus,Hylacola cautus
Hylacola cauta,syn_name,Calamanthus cautus,Calamanthus cautus
Hylacola pyrrhopygia,syn_name,Hylacola pyrrhopygius,Hylacola pyrrhopygius
Hylacola pyrrhopygia,syn_name,Calamanthus pyrrhopygius,Calamanthus pyrrhopygius
Hylacola pyrrhopygia,syn_name,Acanthiza pyrrhopygia,Acanthiza pyrrhopygia
Hypotaenidia philippensis,syn_name,Rallus philippensis,Rallus philippensis
Hypotaenidia philippensis,syn_name,Gallirallus philippensis,Gallirallus philippensis
Irediparra gallinacea,syn_name,Parra gallinacea,Parra gallinacea
Irediparra gallinacea,syn_name,Irediparra gallinacea gallinacea,Irediparra gallinacea
Irediparra gallinacea,syn_name,Irediparra gallinacea novaeguineae,Irediparra gallinacea
Irediparra gallinacea,syn_name,Irediparra gallinacea novaehollandiae,Irediparra gallinacea
Irediparra gallinacea,syn_name,Irediparra gallinacea novaeguinae,Irediparra gallinacea
Lathamus discolor,syn_name,Psittacus discolor,Psittacus discolor
Leucocarbo atriceps,syn_name,Phalacrocorax atriceps,Phalacrocorax atriceps
Leucocarbo atriceps,syn_name,Phalacrocorax atriceps atriceps,Phalacrocorax atriceps
Lewinia pectoralis,syn_name,Rallus pectoralis,Rallus pectoralis
Lichenostomus cratitius,syn_name,Meliphaga cratitius,Meliphaga cratitius
Limosa lapponica,syn_name,Limosa lapponica anadyrensis,Limosa lapponica
Lonchura oryzivora,syn_name,Padda oryzivora,Padda oryzivora
Lophochroa leadbeateri,acc_name,Cacatua leadbeateri,Cacatua leadbeateri
Lophochroa leadbeateri,syn_name,Cacatura leadbeateri,Cacatura leadbeateri
Lophochroa leadbeateri,syn_name,Lophochroa leadbeateri,Lophochroa leadbeateri
Lophochroa leadbeateri,syn_name,Plyctolophus leadbeateri,Plyctolophus leadbeateri
Lophochroa leadbeateri,syn_name,Kakatoe leadbeateri,Kakatoe leadbeateri
Lophoictinia isura,syn_name,Milvus isurus,Milvus isurus
Lugensa brevirostris,acc_name,Aphrodroma brevirostris,Aphrodroma brevirostris
Lugensa brevirostris,syn_name,Pterodroma brevirostris,Pterodroma brevirostris
Lugensa brevirostris,syn_name,Lugensa brevirostris,Lugensa brevirostris
Lugensa brevirostris,syn_name,Oestrelata kidderi,Oestrelata kidderi
Lugensa brevirostris,syn_name,Procellaria brevirostris,Procellaria brevirostris
Macronectes giganteus,syn_name,Procellaria gigantea,Procellaria gigantea
Macronectes halli,syn_name,Macronectes giganteus halli,Macronectes giganteus
Malacorhynchus membranaceus,syn_name,Anas membranacea,Anas membranacea
Malurus cyaneus,syn_name,Motacilla cyanea,Motacilla cyanea
Malurus splendens,syn_name,Saxicola splendens,Saxicola splendens
Manorina melanotis,syn_name,Manorina flavigula melanotis,Manorina flavigula
Manorina melanotis,syn_name,Myzantha melanotis,Myzantha melanotis
Melithreptus affinis,syn_name,Eidopsarus affinis,Eidopsarus affinis
Melithreptus lunatus,syn_name,Melithreptus lunatus lunatus,Melithreptus lunatus
Melithreptus lunatus,syn_name,Certhia lunata,Certhia lunata
Melithreptus validirostris,syn_name,Haematops validirostris,Haematops validirostris
Melopsittacus undulatus,syn_name,Psittacus undulatus,Psittacus undulatus
Microcarbo melanoleucos,syn_name,Phalacrocorax melanoleucos,Phalacrocorax melanoleucos
Microcarbo melanoleucos,syn_name,Hydrocorax melanoleucos,Hydrocorax melanoleucos
Milvus migrans,syn_name,Falco migrans,Falco migrans
Morus serrator,syn_name,Pelecanus serrator,Pelecanus serrator
Neophema chrysogaster,syn_name,Psittacus chrysogaster,Psittacus chrysogaster
Neophema chrysostoma,syn_name,Psittacus chrysostomus,Psittacus chrysostomus
Neophema elegans,syn_name,Nanodes elegans,Nanodes elegans
Neophema petrophila,syn_name,Euphema petrophila,Euphema petrophila
Neophema splendida,syn_name,Euphema splendida,Euphema splendida
Neopsephotus bourkii,syn_name,Neophema bourki,Neophema bourki
Neopsephotus bourkii,syn_name,Euphema bourkii,Euphema bourkii
Neopsephotus bourkii,syn_name,Neophema bourkii,Neophema bourkii
Nesoptilotis flavicollis,syn_name,Lichenostomus flavicollis,Lichenostomus flavicollis
Nesoptilotis flavicollis,syn_name,Melithreptus flavicollis,Melithreptus flavicollis
Nesoptilotis leucotis,syn_name,Lichenostomus leucotis,Lichenostomus leucotis
Ninox boobook,syn_name,Strix boobook,Strix boobook
Ninox connivens,syn_name,Falco connivens,Falco connivens
Ninox novaeseelandiae,syn_name,Strix novaeseelandiae,Strix novaeseelandiae
Ninox strenua,syn_name,Athene strenua,Athene strenua
Northiella haematogaster,syn_name,Platycercus haematogaster,Platycercus haematogaster
Numenius madagascariensis,syn_name,Scolopax madagascariensis,Scolopax madagascariensis
Nycticorax caledonicus,syn_name,Ardea caledonica,Ardea caledonica
Nymphicus hollandicus,syn_name,Psittacus hollandicus,Psittacus hollandicus
Ocyphaps lophotes,syn_name,Geophaps lophotes,Geophaps lophotes
Pachyptila belcheri,syn_name,Heteroprion belcheri,Heteroprion belcheri
Pachyptila salvini,syn_name,Pachyptila vittata salvini,Pachyptila vittata
Pachyptila salvini,syn_name,Pachyptila salvini salvini,Pachyptila salvini
Pachyptila salvini,syn_name,Prion vittatus salvini,Prion vittatus
Pachyptila turtur,syn_name,Procellaria turtur,Procellaria turtur
Pachyptila vittata,syn_name,Pachyptila forsteri,Pachyptila forsteri
Pachyptila vittata,syn_name,Procellaria forsteri,Procellaria forsteri
Pachyptila vittata,syn_name,Procellaria vittata,Procellaria vittata
Pagodroma nivea,syn_name,Procellaria nivea,Procellaria nivea
Pandion haliaetus,syn_name,Falco haliaetus,Falco haliaetus
